,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
149,3,IB,64,64,R,3,25.2,14.1,1,9.4,13.6,41.601,1.26882418,6.901,25.53
150,3,IB,65,65,A,1,25.4,12.8,1,2,2.5,41.601,1.26882418,6.901,25.53
151,3,IB,67,67,A,1,25.1,11.7,1,4.3,4.3,41.601,1.26882418,6.901,25.53
152,3,IB,68,68,A,1,24,11.7,1,20.65,12.5,41.601,1.26882418,6.901,25.53
153,3,IB,70,70,A,1,26,7,1,43.4,25.9,41.601,1.26882418,6.901,25.53
154,3,IB,71,71,A,1,25.1,6.8,1,47.65,20.7,41.601,1.26882418,6.901,25.53
155,3,IB,74,74,A,1,22.1,8.4,1,5.5,6.6,41.601,1.26882418,6.901,25.53
156,3,IB,77,77,R,3,14.4,6.7,1,9,10.2,41.601,1.26882418,6.901,25.53
157,3,IB,78,78,A,1,12.2,7.3,1,46.4,15.4,41.601,1.26882418,6.901,25.53
158,3,IB,79,79,R,3,11.6,5.2,1,13.2,11,41.601,1.26882418,6.901,25.53
159,3,IB,80,80,A,1,8.3,6.1,1,13,11.6,41.601,1.26882418,6.901,25.53
160,3,IB,81,81,R,3,5.6,5.6,1,9.5,13.1,41.601,1.26882418,6.901,25.53
161,3,IB,84,84,R,3,8.3,10.8,1,12.1,10,41.601,1.26882418,6.901,25.53
162,3,IB,85,85,A,1,6,11.7,1,1,2,41.601,1.26882418,6.901,25.53
163,3,IB,88,88,R,3,6.6,20,1,17,12.7,41.601,1.26882418,6.901,25.53
164,3,IB,89,89,A,1,8.7,22.2,1,2,2.9,41.601,1.26882418,6.901,25.53
165,3,IB,92,92,A,1,12.9,24.1,1,41.3,17.4,41.601,1.26882418,6.901,25.53
166,3,IB,93,93,R,3,15.5,23.9,1,5.85,8.7,41.601,1.26882418,6.901,25.53
167,3,IB,94,94,A,1,14.9,20.9,1,31.4,18.8,41.601,1.26882418,6.901,25.53
168,3,IB,95,95,A,1,17.8,23.2,1,34,15.5,41.601,1.26882418,6.901,25.53
169,3,IB,96,96,A,1,18.4,20.9,1,30.3,18.5,41.601,1.26882418,6.901,25.53
170,3,IB,97,97,A,1,18,17.5,1,15.5,14.4,41.601,1.26882418,6.901,25.53
171,3,IB,98,98,A,1,20.1,13,1,3,2.9,41.601,1.26882418,6.901,25.53
172,3,IB,99,99,A,1,17.8,12.6,1,42.9,19.1,41.601,1.26882418,6.901,25.53
173,3,IB,100,100,A,1,21.3,11.4,1,2.6,3.3,41.601,1.26882418,6.901,25.53
174,3,IB,101,101,A,1,21,10.3,1,4,4.6,41.601,1.26882418,6.901,25.53
175,3,IB,102,102,A,1,22.4,10,1,4,4.9,41.601,1.26882418,6.901,25.53
